Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),CO2(kg),CO(kg),CH4(kg),NMOC(kg),SO2(kg),NH3(kg),NO(kg),NO2(kg),NOx(kg),PM2.5(kg),OC(kg),BC(kg)
CA3268211688619840421,PROCTOR,32.682,-116.886,1984,4,1222.2,0,300.96,691.38,229.86,0,88239714.48,5383339.56,122498.892,1334643.84,40974.4476,93153.2148,72501.624,52617.2868,116967.78,439157.412,205992.036,72591.8796
CA3341311687319840530,AGUANGA,33.413,-116.873,1984,5,2250.81,0.54,719.28,1209.42,321.57,0,176572772.6,10407312.81,270244.296,2652322.32,84675.1509,176318.4834,136579.959,104980.0932,215969.733,921608.307,551366.541,128230.0443
CA3375011772919840615,LOMA RIDGE,33.75,-117.729,1984,6,559.26,5.58,268.83,267.03,17.82,0,31507899.3,1908487.08,44565.093,476699.76,14949.4482,32872.9653,25819.893,19010.9259,41448.456,158066.55,77518.152,25344.126
CA3428511755419840528,LYTLE,34.285,-117.554,1984,5,988.47,20.79,134.19,446.58,386.91,0,117767016.9,6010228.71,243621.297,1726734.24,64527.7401,91820.5767,70816.158,70530.9435,99933.183,721917.063,715550.607,42452.7525
CA3444311889619841015,SQUAW FLAT,34.443,-118.896,1984,10,2447.64,19.8,1748.97,607.32,71.55,0,171500766.3,9570829.41,297284.805,2563898.4,90086.0247,156232.3275,124645.644,105702.7491,189641.601,951805.737,717583.221,100634.9715
CA3445211772619840706,MESCAL,34.452,-117.726,1984,7,586.17,5.67,239.04,341.46,0,0,41688080.64,2546127.72,57763.656,630112.32,19187.5716,44093.7504,34145.028,24699.5928,55149.444,207391.644,97125.012,34381.9548
CA3490511928619840810,BLUE,34.905,-119.286,1984,8,800.82,52.56,452.52,237.33,58.41,0,58149089.82,3248930.52,100684.611,868479.12,30245.7726,53090.1315,42038.739,35551.2861,64037.736,322713.018,243427.896,34219.6164
CA3539611983319840819,TWISSELMAN,35.396,-119.833,1984,8,2430.99,129.15,2049.03,249.48,0.27,3.06,99356163.3,5691921.39,158552.091,1516871.52,57438.9585,94302.4581,82965.708,68184.7101,127751.175,523743.471,322421.427,67063.7925
CA3557911838819840707,BODFISH,35.579,-118.388,1984,7,9384.21,0.72,5105.16,3603.6,552.24,122.49,927155400.1,49568471.37,1764521.568,13697843.76,488921.0445,785194.6662,606988.143,554442.156,894041.793,5423580.459,4790174.517,438479.3439
CA3631411886919840821,BLUE RIDGE,36.314,-118.869,1984,8,634.05,1.08,543.24,68.49,12.15,9.09,60788968.02,3220131.15,117715.203,896787.36,32325.0561,50655.0357,39160.26,36380.2653,57223.071,359014.815,325146.195,27372.3309
CA3640611884819840829,BAR-O,36.406,-118.848,1984,8,1209.15,0.18,988.47,193.41,25.11,1.98,129983097.8,6535167.66,275620.473,1901226.96,72033.4188,98619.6429,75970.431,77858.5455,105565.626,808214.22,826809.354,42287.3226
CA3651011888219841010,BEAR CREEK,36.51,-118.882,1984,10,529.02,2.52,391.23,116.28,18.99,0,53775597.42,2798386.38,107588.619,790804.08,28967.3784,43422.8823,33475.689,32143.1013,48136.41,323483.184,306766.386,21871.7874
CA3939212245119841024,CLARK VALLEY,39.392,-122.451,1984,10,594.9,0,282.42,304.83,6.57,1.08,57516182.46,3045343.05,111408.309,848890.08,30714.9003,47883.3651,37157.4,34549.4259,54272.133,339656.085,307479.465,25868.1807
CA3978412169619840702,BIDWELL,39.784,-121.696,1984,7,2432.25,3.33,1230.39,1151.73,46.08,0.72,289938402.9,14278479.57,635131.467,4227301.44,163264.3443,211707.5697,162955.602,173838.6621,221324.049,1837198.845,1955861.253,80504.8155
CA3998112259119840712,LOWERY,39.981,-122.591,1984,7,1158.93,3.42,237.15,739.71,178.65,0,60732129.24,3643909.65,86939.172,926285.04,31482.7929,62298.441,51750.927,39213.8028,82206.333,304790.463,148495.833,47952.6003
CA4003412014019840821,SECOND,40.034,-120.14,1984,8,486.09,1.53,414.54,64.89,0.54,4.59,45807457.68,2466574.65,85945.014,677814.48,24070.8393,39277.278,30449.349,27455.5026,45116.001,265825.791,229707.621,22496.6871
CA4007812006619840705,TURTLE,40.078,-120.066,1984,7,1610.82,0,401.49,1208.88,0,0.45,105556529.5,6247376.01,158490.216,1595635.92,52729.9029,106017.345,84911.175,65258.478,134234.685,544139.091,306266.445,78549.1299
CA4054812140719840823,BADGER,40.548,-121.407,1984,8,449.73,2.61,115.38,196.74,115.65,19.35,44918100,2266975.35,94572.162,657984.24,24972.3279,34311.9492,26619.579,27067.1454,37147.167,278046.441,281590.371,15058.4265
CA4068311999419840706,TWIN,40.683,-119.994,1984,7,4188.69,0.72,1664.37,2330.73,8.55,184.32,312755865.5,18672663.6,461767.968,4713262.56,149095.3536,318860.9604,248478.552,187084.4724,395814.06,1602984.528,880548.768,238520.5236
CA4126012012019840809,EAGLE,41.26,-120.12,1984,8,700.83,28.71,503.82,133.56,15.39,19.35,53619007.86,3088962.54,86857.353,802622.16,26446.8204,51560.5725,40054.959,32043.7791,62395.866,287890.38,193410.666,35671.8762
CA4192312065019840813,RAIL,41.923,-120.65,1984,8,1224.81,4.59,296.73,419.22,489.78,14.49,151009384.1,7707619.08,312285.303,2214484.56,82813.8222,117759.5991,90916.191,90524.7513,128315.232,925464.042,916740.864,54499.9068
NV3881711969319840628,INDIAN,38.817,-119.693,1984,6,1832.31,24.48,568.8,673.83,495.18,70.02,159286060.3,8901908.01,276652.125,2372299.2,81046.4787,145567.1727,113137.056,95458.9887,172534.185,886676.445,676475.649,93304.5867
NV3961311999619840628,MITCHELL CANYON,39.613,-119.996,1984,6,1749.87,9.9,482.4,604.44,582.66,70.47,172889365.7,9326348.55,323118.108,2559789.36,90907.4331,148700.3634,115526.277,103834.2744,171418.275,1001021.373,859487.643,85748.7501
NV3977411998919840706,PETERSON,39.774,-119.989,1984,7,124.29,0.09,44.64,55.62,23.85,0.09,11391783.66,631872.36,20133.621,169287.12,5796.0954,10280.3193,7939.413,6784.9839,12043.836,64030.878,50406.192,6439.7592
CA3294511693519840906,BOWLES,32.945,-116.935,1984,9,1244.16,49.59,25.02,1169.55,0,0,83952748.44,5117438.16,117003.042,1268526.24,38738.3076,88519.113,68556.546,49758.1974,110604.744,418789.26,199276.704,68778.6048
CA3402311625519840531,LOST HORSE,34.023,-116.255,1984,5,1671.57,0,0.09,1500.39,55.35,115.74,116704325.9,7114272.93,162116.262,1766841.84,54745.3125,123024.7368,96350.337,70137.423,155276.217,580643.091,271585.953,95898.8511
CA3433111896419840507,GRIMES FIRE,34.331,-118.964,1984,5,4418.01,59.67,33.84,3077.55,1230.03,16.92,254310809,14947816.14,389159.82,3837751.2,127458.7758,252573.4728,201763.854,156767.1948,317698.47,1323675.81,779367.366,184308.3018
CA3455211818319840529,SHANNON FIRE,34.552,-118.183,1984,5,1437.93,2.43,0,1431.09,0,4.41,90993619.8,5369132.43,137726.046,1374826.32,45615.0123,90937.7676,72862.299,56284.263,114972.399,470919.069,270006.471,66962.0745
CA3470111707519840512,STODDARD 2,34.701,-117.075,1984,5,994.41,0,0,983.79,7.83,2.79,72586690.92,4430905.74,100649.088,1097645.76,33590.1294,76702.6512,59586.786,43180.8012,96181.29,361117.458,169057.854,59803.4934
CA3480712050119840507,MINUTEMAN,34.807,-120.501,1984,5,1278.81,0,8.46,779.76,489.6,0.99,44764812.18,2484854.82,75429.693,689510.16,29115.144,40172.1489,38593.575,33509.5011,58046.382,240961.032,160057.35,27293.8086
CA3519712039419840629,BONNHEIM,35.197,-120.394,1984,6,656.55,0,83.43,550.26,15.03,7.83,62798907.42,3309902.46,122563.395,926910,33861.0672,51853.4919,40464.873,37940.1813,58863.834,372278.808,340240.122,27601.4034
CA3525312054719840529,MORETZZ,35.253,-120.547,1984,5,641.61,0,222.03,410.94,8.1,0.54,50209362.36,2576115.54,102191.274,741862.08,28720.6326,39468.2886,32026.896,31493.9718,45475.722,304028.298,292160.754,19130.0382
CA3561111844619840526,WOODROW,35.611,-118.446,1984,5,452.34,0,0,448.29,0.09,3.96,36810166.86,2152906.47,57479.679,552142.08,17788.9437,36294.9021,28099.908,21886.0101,44218.575,194065.299,121231.287,25956.8397
CA3589912013419840525,FLAT TOP,35.899,-120.134,1984,5,2706.75,172.62,0,996.57,477.09,1060.47,58965306.3,3360447.9,89526.879,938620.08,44533.0008,55031.5899,60766.533,51567.0993,92202.354,295946.352,137467.242,42068.529
CA3607412018819840329,FK 1817,36.074,-120.188,1984,3,592.2,39.87,0,463.32,70.83,18.18,20856507.48,1239486.84,29937.492,322518.24,12215.9772,21008.3328,19019.016,14875.6176,29844.288,103903.668,47798.964,16306.8336
CA3626012031719840525,OIL FIELDS,36.26,-120.317,1984,5,459.09,1.08,0,90.63,0,367.38,6635393.64,355908.6,10843.038,109683.36,6535.0656,5518.8846,7894.314,7249.833,11548.764,33678.576,15960.996,4103.3628
CA3674412094119840602,BONANZA,36.744,-120.941,1984,6,4899.15,16.92,9.99,4870.62,1.35,0.27,241407117.9,13819398.57,387995.391,3671125.92,135981.2511,229001.4081,197112.33,161721.8109,303772.113,1279763.937,808799.625,161369.3835
CA3688312115819840705,PACHECO 2,36.883,-121.158,1984,7,499.14,0,38.34,460.8,0,0,36612696.6,2012312.97,65444.112,546801.84,19723.2813,32487.6582,26195.967,22824.3096,39395.889,206387.595,163423.413,20121.1695
