,Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),FuelTreatment,geometry
863,CA3709612116720030616,152,37.096,-121.167,2003-01-01 00:00:00+00:00,6,689.94,1.17,88.38,566.19,34.2,0,0,POINT (-121.167 37.096)
818,CA3889312226520021001,16,38.893,-122.265,2002-01-01 00:00:00+00:00,10,615.69,0.54,557.28,55.98,0.99,0.9,0,POINT (-122.265 38.893)
752,CA3722512083420010613,165,37.225,-120.834,2001-01-01 00:00:00+00:00,6,726.03,36.27,146.52,338.76,204.39,0.09,0,POINT (-120.834 37.225)
1035,CA3382811774720070311,241 FIRE,33.828,-117.747,2007-01-01 00:00:00+00:00,3,750.33,17.46,515.16,217.17,0.54,0,0,POINT (-117.747 33.828)
959,CA4030012273420050810,36,40.3,-122.734,2005-01-01 00:00:00+00:00,8,917.55,0,619.29,295.92,1.71,0.63,0,POINT (-122.734 40.3)
424,CA3539212068319940814,41,35.392,-120.683,1994-01-01 00:00:00+00:00,8,19603.26,34.65,2368.62,7647.57,9519.48,32.94,0,POINT (-120.683 35.392)
1094,CA3698911976620080610,41 FIRE,36.989,-119.766,2008-01-01 00:00:00+00:00,6,1054.53,5.76,79.29,954.81,14.67,0,0,POINT (-119.766 36.989)
487,CA3562411978919950601,46,35.624,-119.789,1995-01-01 00:00:00+00:00,6,1883.88,58.86,131.58,1614.06,77.85,1.53,0,POINT (-119.789 35.624)
247,CA3924412120719880911,49R,39.244,-121.207,1988-01-01 00:00:00+00:00,9,14843.25,64.53,6373.71,4665.06,3729.69,10.26,0,POINT (-121.207 39.244)
633,CA3772812166319980829,580,37.728,-121.663,1998-01-01 00:00:00+00:00,8,448.2,0,22.77,227.25,4.14,194.04,0,POINT (-121.663 37.728)
879,CA4033712044320030702,A-3,40.337,-120.443,2003-01-01 00:00:00+00:00,7,466.56,0.09,309.06,150.66,6.03,0.72,0,POINT (-120.443 40.337)
