OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,COMPLEX_NAME,COMPLEX_INCNUM,SHAPE_Length,SHAPE_Area
38401,2009,AZ,BLM,CRA,DEER, ,2009/07/06 00:00:00+00,2009/07/21 00:00:00+00,Unknown/Unidentified, ,,330.16028,8,Suppression (Wildfire),E0YL,,,12882.94905,1954275.516
21802,2020,AZ,BIA,,AHA MACAV,207928,2020/09/11 00:00:00+00,2020/09/11 00:00:00+00,Miscellaneous,fireworks,42,42.103676,8,Suppression (Wildfire),,,,3502.269874,254583.6168
26154,1898,CA,CCO,VNC,MATILIJA,0,1898/04/01 00:00:00+00,,Unknown/Unidentified,,,2641.123,,Suppression (Wildfire),0,,,27417.39091,15770124.03
24025,1898,CA,CCO,VNC,LOS PADRES,0,1898/09/01 00:00:00+00,,Unknown/Unidentified,,,20539.949,,Suppression (Wildfire),0,,,56066.32216,122526841
26155,1898,CA,CCO,VNC,COZY DELL,0,1898/09/01 00:00:00+00,,Unknown/Unidentified,,,2974.5852,,Suppression (Wildfire),0,,,18817.25735,17759223.37
34692,1902,CA,CCO,VNC,FEROUD,0,1902/08/01 00:00:00+00,,Unknown/Unidentified,,,731.48157,,Suppression (Wildfire),0,,,7945.451412,4360469.994
26356,1903,CA,CCO,VNC,SAN ANTONIO,0,1903/10/01 00:00:00+00,,Unknown/Unidentified,,,380.26059,,Suppression (Wildfire),0,,,9900.98945,2267493.79
26365,1907,CA,CCO,LAC, ,0,1907/06/19 00:00:00+00,,Unknown/Unidentified,,,239.09299,,Suppression (Wildfire),0,,,4620.607425,1419633.961
24154,1908,CA,CCO,VNC,REEVES,0,1908/07/01 00:00:00+00,,Unknown/Unidentified,,,859.34882,,Suppression (Wildfire),0,,,11588.67632,5126151.174
24159,1908,CA,CDF,HUU,LUFFENHOLZ,0,1908/09/26 00:00:00+00,,Unknown/Unidentified,,,7433.9019,,Suppression (Wildfire),0,,,31849.53666,52867460.78
25877,1909,CA,USF,SRF,N/A,0,1909/05/03 00:00:00+00,,Unknown/Unidentified,,,59.738968,,Suppression (Wildfire),1,,,2342.112048,435410.5889
25878,1909,CA,USF,SRF,N/A,0,1909/07/19 00:00:00+00,,Unknown/Unidentified,,,4.97855,,Suppression (Wildfire),2,,,676.2545039,36299.83469
26368,1909,CA,CCO,LAC,SHOEMAKER,0,1909/08/14 00:00:00+00,,Unknown/Unidentified,,,450.53473,,Suppression (Wildfire),0,,,8722.105637,2681053.132
26369,1909,CA,CCO,VNC,HORN CANYON,0,1909/09/01 00:00:00+00,,Unknown/Unidentified,,,3174.5146,,Suppression (Wildfire),0,,,21917.4339,18952916.34
