,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Moderate_Severity(ha),High_Severity(ha)
0,PROCTOR,32.682,-116.886,1984,4,1222.2,691.38,229.86
1,AGUANGA,33.413,-116.873,1984,5,2250.81,1209.42,321.57
2,LOMA RIDGE,33.75,-117.729,1984,6,559.26,267.03,17.82
3,LYTLE,34.285,-117.554,1984,5,988.47,446.58,386.91
4,SQUAW FLAT,34.443,-118.896,1984,10,2447.64,607.32,71.55
5,MESCAL,34.452,-117.726,1984,7,586.17,341.46,0.0
6,BLUE,34.905,-119.286,1984,8,800.82,237.33,58.41
7,TWISSELMAN,35.396,-119.833,1984,8,2430.99,249.48,0.27
8,BODFISH,35.579,-118.388,1984,7,9384.21,3603.6,552.24
9,BLUE RIDGE,36.314,-118.869,1984,8,634.05,68.49,12.15
10,BAR-O,36.406,-118.848,1984,8,1209.15,193.41,25.11
11,BEAR CREEK,36.51,-118.882,1984,10,529.02,116.28,18.99
12,CLARK VALLEY,39.392,-122.451,1984,10,594.9,304.83,6.57
13,BIDWELL,39.784,-121.696,1984,7,2432.25,1151.73,46.08
14,LOWERY,39.981,-122.591,1984,7,1158.93,739.71,178.65
15,SECOND,40.034,-120.14,1984,8,486.09,64.89,0.54
16,TURTLE,40.078,-120.066,1984,7,1610.82,1208.88,0.0
17,BADGER,40.548,-121.407,1984,8,449.73,196.74,115.65
18,TWIN,40.683,-119.994,1984,7,4188.69,2330.73,8.55
19,EAGLE,41.26,-120.12,1984,8,700.83,133.56,15.39
20,RAIL,41.923,-120.65,1984,8,1224.81,419.22,489.78
21,INDIAN,38.817,-119.693,1984,6,1832.31,673.83,495.18
22,MITCHELL CANYON,39.613,-119.996,1984,6,1749.87,604.44,582.66
23,PETERSON,39.774,-119.989,1984,7,124.29,55.62,23.85
24,BOWLES,32.945,-116.935,1984,9,1244.16,1169.55,0.0
25,LOST HORSE,34.023,-116.255,1984,5,1671.57,1500.39,55.35
26,GRIMES FIRE,34.331,-118.964,1984,5,4418.01,3077.55,1230.03
27,SHANNON FIRE,34.552,-118.183,1984,5,1437.93,1431.09,0.0
28,STODDARD 2,34.701,-117.075,1984,5,994.41,983.79,7.83
29,MINUTEMAN,34.807,-120.501,1984,5,1278.81,779.76,489.6
30,BONNHEIM,35.197,-120.394,1984,6,656.55,550.26,15.03
31,MORETZZ,35.253,-120.547,1984,5,641.61,410.94,8.1
