,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
621,621,FK 1817,36.074,-120.188,1984,3,592.2,70.83,2
623,623,WOODROW,35.611,-118.446,1984,5,452.34,0.09,0
1322,1322,WOODROW,35.611,-118.446,1984,5,452.34,0.09,2
625,625,OIL FIELDS,36.26,-120.317,1984,5,459.09,0.0,0
626,626,COTTONWOOD,37.098,-121.162,1984,5,571.14,65.25,1
622,622,MORETZZ,35.253,-120.547,1984,5,641.61,8.1,0
624,624,FLAT TOP,35.899,-120.134,1984,5,2706.75,477.09,0
629,629,BONNHEIM,35.197,-120.394,1984,6,656.55,15.03,0
628,628,MITCHELL CANYON,39.613,-119.996,1984,6,1749.87,582.66,0
627,627,INDIAN,38.817,-119.693,1984,6,1832.31,495.18,0
0,0,SALT SPRING,38.004,-120.647,1984,6,1957.23,261.72,1
632,632,SALT SPRING,38.004,-120.647,1984,6,1957.23,261.72,1
631,631,SITE 300 3,37.651,-121.474,1984,6,2794.77,401.67,0
630,630,BONANZA,36.744,-120.941,1984,6,4899.15,1.35,0
636,636,PETERSON,39.774,-119.989,1984,7,124.29,23.85,0
637,637,PACHECO 2,36.883,-121.158,1984,7,499.14,0.0,1
2,2,LOWERY,39.981,-122.591,1984,7,1158.93,178.65,0
3,3,TURTLE,40.078,-120.066,1984,7,1610.82,0.0,1
635,635,TURTLE,40.078,-120.066,1984,7,1610.82,0.0,0
1,1,BIDWELL,39.784,-121.696,1984,7,2432.25,46.08,0
634,634,BIDWELL,39.784,-121.696,1984,7,2432.25,46.08,0
633,633,BODFISH,35.579,-118.388,1984,7,9384.21,552.24,0
1323,1323,BODFISH,35.579,-118.388,1984,7,9384.21,552.24,10
5,5,BADGER,40.548,-121.407,1984,8,449.73,115.65,0
4,4,SECOND,40.034,-120.14,1984,8,486.09,0.54,0
641,641,SECOND,40.034,-120.14,1984,8,486.09,0.54,1
639,639,BLUE RIDGE,36.314,-118.869,1984,8,634.05,12.15,0
6,6,EAGLE,41.26,-120.12,1984,8,700.83,15.39,0
640,640,BAR-O,36.406,-118.848,1984,8,1209.15,25.11,0
7,7,RAIL,41.923,-120.65,1984,8,1224.81,489.78,1
638,638,TWISSELMAN,35.396,-119.833,1984,8,2430.99,0.27,0
8,8,BRUSHY,40.011,-121.817,1984,9,1131.3,9.36,1
642,642,BRUSHY,40.011,-121.817,1984,9,1131.3,9.36,1
643,643,BEAR CREEK,36.51,-118.882,1984,10,529.02,18.99,7
9,9,CLARK VALLEY,39.392,-122.451,1984,10,594.9,6.57,7
644,644,ADELAIDE,35.443,-118.777,1985,5,426.15,2.34,0
1324,1324,ADELAIDE,35.443,-118.777,1985,5,426.15,2.34,1
645,645,BUMB,36.623,-120.979,1985,5,524.25,22.86,1
10,10,SKEDADDLE,40.305,-120.158,1985,5,549.0,0.0,1
650,650,PATEVALLEY,37.93,-119.571,1985,6,436.14,164.52,0
12,12,ROCK CREEK,39.851,-121.772,1985,6,472.68,53.28,1
651,651,ROCK CREEK,39.851,-121.772,1985,6,472.68,53.28,0
648,648,PINEY CREEK,36.348,-121.467,1985,6,645.12,62.19,0
649,649,DOUGHERTY,36.959,-118.626,1985,6,670.59,189.18,0
1326,1326,DOUGHERTY,36.959,-118.626,1985,6,670.59,189.18,1
652,652,PONOCHE 2,36.727,-120.768,1985,6,3037.41,654.57,1
646,646,RICH BAR,35.458,-118.707,1985,6,3294.18,4.59,0
1325,1325,RICH BAR,35.458,-118.707,1985,6,3294.18,4.59,0
647,647,WIZARD,36.024,-121.382,1985,6,3464.1,326.88,0
11,11,UNNAMED,38.859,-122.856,1985,6,3907.17,46.89,0
