,index,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),High_Severity(ha),TSLF
889,889,152,37.096,-121.167,2003,6,689.94,34.2,0
266,266,16,38.893,-122.265,2002,10,615.69,0.99,1
864,864,165,37.225,-120.834,2001,6,726.03,204.39,1
1536,1536,241 FIRE,33.828,-117.747,2007,3,750.33,0.54,0
300,300,36,40.3,-122.734,2005,8,917.55,1.71,0
766,766,41,35.392,-120.683,1994,8,19603.26,9519.48,0
963,963,41 FIRE,36.989,-119.766,2008,6,1054.53,14.67,0
775,775,46,35.624,-119.789,1995,6,1883.88,77.85,0
86,86,49R,39.244,-121.207,1988,9,14843.25,3729.69,0
839,839,580,37.728,-121.663,1998,8,448.2,4.14,1
271,271,A-3,40.337,-120.443,2003,7,466.56,6.03,0
724,724,A-ROCK,37.702,-119.786,1990,8,7194.78,3747.33,1
543,543,ABNEY,41.95,-123.136,2017,8,12757.86,4247.64,1
809,809,ACKERSON COMPLEX (ACKERSON),37.913,-119.818,1996,8,23518.44,6666.3,2
274,274,ACKLEY,41.743,-121.328,2003,7,4137.39,0.0,2
684,684,ACORN,38.789,-119.822,1987,7,2567.16,948.24,1
639,639,ADELAIDE,35.443,-118.777,1985,5,426.15,2.34,0
830,830,AERA,35.548,-118.974,1998,7,834.21,84.51,0
1181,1181,AGUANGA,33.413,-116.873,1984,5,2250.81,321.57,0
1094,1094,AIRLINE,36.391,-120.962,2018,6,597.78,42.57,0
1694,1694,AIRPORT,33.90290227,-117.6276915,2020,12,429.66,29.88,0
803,803,AIRPORT 2,35.352,-119.547,1996,8,428.4,0.45,0
1654,1654,ALAMO,34.96,-120.288,2017,7,11839.77,1604.61,1
902,902,ALBANITA AND HOOKER,36.118,-118.21,2003,9,2001.33,319.68,0
1104,1104,ALDER,36.239,-118.632,2018,10,2114.91,303.75,0
1581,1581,ALISO,33.343,-117.362,2010,7,1319.85,182.61,0
1324,1324,ALISO,34.909,-119.729,1994,7,1378.35,0.0,1
596,596,ALLEN,41.35755778,-121.0760707,2020,7,412.56,9.72,0
926,926,ALMAZAN,36.12,-120.402,2006,5,863.19,0.0,0
925,925,ALPAUGH,35.821,-119.511,2006,5,607.86,26.37,0
166,166,AMBROSE COMPLEX (DAMON-LONG),41.555,-121.25,1996,8,9748.71,63.9,0
464,464,AMERICAN,39.136,-120.588,2013,8,11304.63,6072.3,0
826,826,AMERICAN,35.187,-119.896,1997,9,652.05,416.61,1
344,344,AMERICAN RIVER COMPLEX (GOVERNMENT),39.208,-120.596,2008,6,8382.6,3319.83,0
1549,1549,AMMO FIRE,33.346,-117.472,2007,10,7346.07,895.32,0
652,652,ANDREWS,36.037,-120.559,1985,7,2052.81,215.46,0
323,323,ANGORA,38.886,-120.04,2007,6,1220.13,709.29,1
433,433,ANNIE,41.918,-120.115,2011,8,854.82,541.71,1
898,898,ANNIE,37.23,-121.245,2003,8,7032.96,15.03,0
998,998,ANTELOPE,35.458,-119.892,2011,6,2130.93,134.01,0
1235,1235,ANTELOPE,33.609,-117.221,1987,10,1311.57,7.2,0
326,326,ANTELOPE COMPLEX (WHEELER),40.139,-120.582,2007,7,9349.74,4947.75,0
1441,1441,ANTONIO,33.6,-117.606,2002,5,518.76,6.3,0
1347,1347,APACHE,33.888,-116.698,1995,9,1475.91,5.76,0
557,557,APPLE,39.924,-122.349,2018,6,1152.81,224.19,0
1683,1683,APPLE,34.02490173,-116.8574842,2020,7,13366.17,9404.1,0
289,289,ARMSTRONG,38.187,-120.425,2004,8,436.41,237.69,0
1442,1442,ARROWHEAD,34.196,-117.241,2002,5,1062.99,38.25,0
1017,1017,ASPEN,37.294,-119.263,2013,7,9536.04,3005.01,0
841,841,ASPEN PW 2,37.807,-119.799,1998,10,1218.69,7.83,5
827,827,ASPEN VALLEY,37.822,-119.786,1997,10,723.69,143.91,8
1246,1246,ASSIST 78,32.821,-117.034,1988,9,415.26,6.12,0
1228,1228,ASSIST 79,32.89,-117.01,1987,6,828.9,1.44,0
34,34,ASSIST P.N.F.,39.683,-121.077,1987,8,499.05,316.98,0
547,547,ATLAS,38.364,-122.237,2017,10,20768.31,1842.39,0
608,608,AUGUST COMPLEX FIRES,39.93152304,-122.9959521,2020,8,417701.16,170053.65,0
798,798,AUTUMN HILLS,38.935,-119.858,1996,6,38.07,5.85,1
1001,1001,AVALANCHE,37.664,-119.686,2011,7,466.56,8.73,1
718,718,AVALANCHE1,36.763,-118.599,1990,7,1036.53,285.75,0
957,957,AVOCADO,36.791,-119.371,2008,5,503.73,0.09,0
1392,1392,AZALEA,34.71,-120.494,1997,9,552.96,86.13,0
1141,1141,BACCARAT,39.77683069,-119.9569403,2020,10,6.66,0.0,1
412,412,BACKBONE,41.07,-123.436,2009,7,1902.24,514.17,0
5,5,BADGER,40.548,-121.407,1984,8,449.73,115.65,0
451,451,BAGLEY,41.032,-122.055,2012,8,19317.6,5806.89,0
1314,1314,BAILEY,33.448,-116.665,1994,6,2869.2,481.23,0
919,919,BAILEY,37.282,-119.853,2005,7,471.06,0.54,0
1394,1394,BAKER,33.776,-117.683,1997,10,2556.72,11.61,0
1525,1525,BALD,34.93,-119.961,2006,7,839.97,187.11,0
477,477,BALD,40.87,-121.314,2014,7,16053.21,4453.02,0
1352,1352,BALD,35.122,-120.335,1995,10,1349.82,41.22,3
22,22,BALD MT.,38.746,-122.103,1985,10,2162.25,182.97,9
989,989,BALES,35.821,-118.994,2010,6,409.77,0.0,1
304,304,BALLS CANYON,39.666,-120.079,2006,6,792.0,339.66,0
325,325,BALLS CANYON,39.684,-120.051,2007,7,1842.39,595.98,0
25,25,BALLS CANYON 2,39.68,-120.062,1987,6,520.56,127.26,0
333,333,BANGOR,39.351,-121.458,2007,8,460.71,40.86,0
1593,1593,BANNER,33.053,-116.45,2012,5,2173.05,30.51,1
428,428,BAR,40.031,-121.176,2010,7,463.59,48.6,0
637,637,BAR-O,36.406,-118.848,1984,8,1209.15,25.11,2
273,273,BARBER,41.253,-120.088,2003,7,574.65,46.08,0
229,229,BARK,41.866,-122.883,2000,7,768.24,273.87,1
498,498,BARKER,40.628,-123.102,2015,7,1596.69,656.19,0
123,123,BARKER,40.61,-123.056,1992,8,2134.17,1077.57,0
147,147,BARKLEY,40.12,-121.756,1994,9,17909.91,1227.15,0
1282,1282,BARRETT,32.617,-116.669,1991,6,510.57,0.27,2
1428,1428,BARRETT,32.633,-116.668,2000,6,620.82,43.02,0
1600,1600,BARRY POINT,42.015,-120.681,2012,8,15471.0,3059.1,1
1356,1356,BARSTOW,34.575,-117.018,1996,5,427.95,0.0,0
763,763,BASHAM,35.904,-120.716,1994,6,541.08,1.44,1
893,893,BASIN,35.43,-118.439,2003,7,424.26,91.71,0
961,961,BASIN COMPLEX,36.212,-121.578,2008,6,66583.53,15883.65,0
960,960,BASIN COMPLEX (INDIANS),36.136,-121.378,2008,6,23919.3,7876.98,0
20,20,BASS HILL,40.343,-120.52,1985,8,1009.89,3.15,1
320,320,BASSETTS,39.633,-120.589,2006,9,939.6,426.87,0
1379,1379,BEACH,33.899,-117.151,1997,5,680.67,20.52,2
1130,1130,BEACH,37.93308926,-118.9869772,2020,8,1479.69,38.79,0
179,179,BEALE ASSIST,39.148,-121.403,1998,9,523.53,12.87,8
139,139,BEAR,41.724,-123.546,1994,7,687.24,250.38,1
45,45,BEAR,40.654,-123.397,1987,8,2131.65,252.63,0
291,291,BEAR,40.718,-122.194,2004,8,4437.36,772.29,0
510,510,BEAR,41.839,-123.724,2015,8,4923.72,1353.96,1
638,638,BEAR CREEK,36.51,-118.882,1984,10,529.02,18.99,7
1586,1586,BEAR CREEK,34.654,-120.583,2010,10,531.36,154.62,9
395,395,BEAR WALLOW COMPLEX (ANTHONY MILNE),41.505,-123.184,2008,6,879.3,109.08,0
393,393,BEAR WALLOW COMPLEX (CARIBOU),41.059,-123.027,2008,6,4916.88,1435.14,0
62,62,BEARCAT,41.793,-122.831,1987,8,1157.13,123.21,0
