,STATION,DATE,PDepth>0.01in,PDepth>0.1in,PDepth>1in,SDepth>1in,DaysT<32d,DaysT>70d,DaysT>90d,HighestDaySnow,HighestDayRain,HighestDayTemp,TotalRain,TotalSnow,AvgMonthMax
0,USC00457180,1950,,,,,,,,,,,,,
1,USC00457180,1951,107.0,56.0,1.0,,32.0,123.0,17.0,,26.7,35.6,474.9,,14.02
2,USC00457180,1952,89.0,41.0,0.0,,40.0,145.0,19.0,,13.5,36.1,280.9,,14.88
3,USC00457180,1953,114.0,59.0,1.0,0.0,2.0,109.0,11.0,20.0,36.6,36.1,508.1,41.0,15.27
4,USC00457180,1954,105.0,58.0,0.0,10.0,18.0,92.0,2.0,102.0,23.4,33.3,455.0,619.0,13.68
5,USC00457180,1955,123.0,56.0,1.0,20.0,47.0,95.0,17.0,114.0,27.9,37.2,417.8,1158.0,12.47
6,USC00457180,1956,106.0,58.0,0.0,11.0,36.0,114.0,14.0,140.0,24.6,36.7,398.2,792.0,13.74
7,USC00457180,1957,118.0,58.0,0.0,20.0,37.0,122.0,2.0,89.0,21.3,32.2,471.2,959.0,13.43
8,USC00457180,1958,116.0,69.0,1.0,5.0,16.0,123.0,32.0,76.0,25.7,36.7,571.6,275.0,15.83
9,USC00457180,1959,116.0,54.0,1.0,15.0,22.0,89.0,12.0,152.0,27.7,38.3,445.9,883.0,13.53
10,USC00457180,1960,111.0,60.0,0.0,11.0,44.0,112.0,17.0,89.0,19.3,37.2,440.2,516.0,13.92
11,USC00457180,1961,122.0,59.0,0.0,14.0,21.0,117.0,20.0,152.0,18.5,41.7,418.5,836.0,14.79
12,USC00457180,1962,111.0,57.0,0.0,9.0,29.0,97.0,10.0,76.0,17.3,34.4,418.5,479.0,13.97
13,USC00457180,1963,102.0,48.0,1.0,9.0,34.0,115.0,8.0,279.0,29.2,34.4,418.9,778.0,14.47
14,USC00457180,1964,124.0,62.0,1.0,28.0,28.0,94.0,4.0,76.0,29.7,35.6,486.4,1308.0,13.08
15,USC00457180,1965,87.0,43.0,2.0,10.0,31.0,106.0,10.0,51.0,27.4,35.0,383.7,341.0,14.41
16,USC00457180,1966,90.0,50.0,0.0,7.0,12.0,120.0,7.0,51.0,19.1,37.2,351.0,409.0,14.98
17,USC00457180,1967,95.0,62.0,0.0,11.0,15.0,121.0,19.0,51.0,24.6,37.8,406.5,340.0,15.0
18,USC00457180,1968,99.0,58.0,0.0,12.0,19.0,109.0,13.0,76.0,24.6,36.1,421.0,559.0,14.17
19,USC00457180,1969,91.0,54.0,0.0,23.0,46.0,112.0,1.0,203.0,22.9,33.9,426.5,1433.0,13.38
20,USC00457180,1970,110.0,70.0,0.0,9.0,23.0,110.0,31.0,76.0,24.4,38.3,563.0,334.0,14.77
21,USC00457180,1971,118.0,56.0,0.0,14.0,20.0,100.0,30.0,76.0,23.6,38.3,445.6,524.0,13.99
22,USC00457180,1973,97.0,64.0,0.0,12.0,15.0,111.0,26.0,114.0,15.7,37.2,436.3,803.0,15.05
23,USC00457180,1974,,,,,,,,,,,,,
24,USC00457180,1975,121.0,71.0,0.0,17.0,25.0,102.0,12.0,127.0,16.5,37.2,517.2,945.0,13.48
25,USC00457180,1976,96.0,46.0,0.0,8.0,18.0,121.0,11.0,76.0,13.5,35.0,293.9,420.0,14.74
26,USC00457180,1977,108.0,55.0,0.0,,44.0,114.0,29.0,,19.1,40.0,389.3,,14.67
27,USC00457180,1978,124.0,65.0,2.0,14.0,31.0,94.0,18.0,102.0,34.5,36.1,513.0,701.0,13.53
28,USC00457180,1979,104.0,64.0,0.0,11.0,37.0,133.0,18.0,64.0,23.6,38.3,484.6,424.0,14.45
29,USC00457180,1980,110.0,74.0,2.0,7.0,31.0,111.0,6.0,178.0,35.1,37.2,612.6,520.0,14.2
30,USC00457180,1981,115.0,64.0,0.0,6.0,20.0,95.0,22.0,127.0,20.8,36.7,481.7,356.0,14.97
31,USC00457180,1982,129.0,73.0,3.0,14.0,39.0,106.0,18.0,267.0,36.1,36.7,586.9,1067.0,13.58
32,USC00457180,1983,147.0,82.0,1.0,7.0,24.0,99.0,11.0,127.0,33.8,35.6,619.0,547.0,14.27
33,USC00457180,1984,132.0,69.0,0.0,11.0,26.0,96.0,13.0,203.0,23.1,39.4,498.9,653.0,13.26
34,USC00457180,1985,97.0,54.0,0.0,16.0,76.0,105.0,19.0,102.0,21.8,36.7,394.7,765.0,12.16
