,Unnamed: 0,Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),CO2(kg),CO(kg),CH4(kg),NMOC(kg),SO2(kg),NH3(kg),NO(kg),NO2(kg),NOx(kg),PM2.5(kg),OC(kg),BC(kg),TSLF
0,1493,CA3606812023620170420,JAYNE,36.061,-120.274,2017,4,1892.16,36.09,282.96,629.73,0.0,943.38,9690163.56,474619.95,16971.354,171294.48,13391.2323,6659.3016,14546.295,14337.8874,20509.983,48704.805,19870.695,4938.7977,1
1,1495,CA3611812036120170518,ELM 2,36.075,-120.405,2017,5,4357.44,238.41,855.72,2228.4,27.63,1007.28,87147498.06,5097270.24,131214.033,1340159.76,50767.7454,85558.8645,76548.789,61141.7691,119179.296,445196.97,236075.436,64056.4452,1
2,1482,CA3539711882220170630,TARINA,35.385,-118.793,2017,6,508.86,0.81,52.65,454.77,0.63,0.0,8184.96,322.56,16.704,161.28,17.28,3.2256,16.704,17.856,22.464,41.472,14.976,2.1312,0
3,1483,CA3539712049820170626,HILL,35.405,-120.481,2017,6,765.9,2.79,288.36,447.75,27.0,0.0,55874461.32,3305870.1,84681.864,839710.08,26643.8178,56144.4768,43445.142,33167.826,68867.982,290250.558,170014.338,41147.0514,0
4,1485,CA3557211858220170618,HIGHWAY,35.586,-118.574,2017,6,686.07,0.0,225.63,454.95,2.25,3.24,18638240.4,991285.74,35783.568,275398.56,9944.4294,15638.2308,12171.762,11225.232,17846.622,109506.762,97808.598,8596.701,0
5,1490,CA3594712117020170605,RANGE,35.925,-121.181,2017,6,845.1,0.0,650.61,181.98,0.0,12.51,37362560.22,2155086.72,60256.701,559987.92,18560.0646,35994.8385,28147.329,22493.5551,43862.256,200047.698,132874.956,25025.5044,0
6,1494,CA3609911841220170624,SCHAEFFER,36.096,-118.365,2017,6,6515.01,20.43,1163.7,3089.43,2199.33,42.12,746089634.0,37688550.39,1568673.315,10929643.2,414227.0493,570876.9921,442582.992,449277.1857,618180.471,4614865.587,4666057.263,251617.2021,0
7,1500,CA3708211980720170610,OAKWOOD,37.076,-119.769,2017,6,609.57,0.0,51.48,547.29,10.8,0.0,6537930.48,316979.37,14607.108,95466.96,3821.9805,4631.4414,3678.435,4027.5576,4916.997,41842.827,45396.765,1613.5371,0
8,1532,CA4143512316220170626,ISLAND,41.42,-123.131,2017,6,25210.62,29.34,8184.96,9396.27,7598.7,1.35,3040129288.0,148996447.6,6702457.329,44334258.48,1729108.449,2199444.402,1705703.265,1835010.654,2304966.456,19328660.77,20712341.16,814127.0508,1
9,1479,CA3456711995220170708,WHITTIER  CA-LBOR-001770,34.535,-119.952,2017,7,7489.26,9.54,915.57,3231.18,3332.97,0.0,747125372.3,39821907.51,1430566.839,11029891.68,394338.8925,629392.8537,485669.7,446098.3713,713511.531,4385614.851,3909579.975,347502.2193,0
